timestamp,host,user,src_ip,event_type,status
2024-03-15 10:00:12,linux-web-01,admin,192.168.1.100,sshd_login,failed
2024-03-15 10:00:45,linux-web-01,admin,192.168.1.100,sshd_login,failed
2024-03-15 10:01:18,linux-web-01,admin,192.168.1.100,sshd_login,failed
2024-03-15 10:01:55,linux-web-01,admin,192.168.1.100,sshd_login,failed
2024-03-15 10:02:30,linux-web-01,admin,192.168.1.100,sshd_login,failed
2024-03-15 10:03:08,linux-web-01,admin,192.168.1.100,sshd_login,failed
2024-03-15 10:03:42,linux-web-01,admin,192.168.1.100,sshd_login,failed
2024-03-15 10:05:30,linux-web-01,admin,192.168.1.100,sshd_login,success
2024-03-15 09:45:00,linux-web-01,deploy,10.0.0.5,sshd_login,success
2024-03-15 10:30:00,linux-web-01,monitor,10.0.0.10,sshd_login,success
2024-03-15 11:00:00,linux-db-01,dbadmin,10.0.0.20,sshd_login,failed
2024-03-15 11:01:00,linux-db-01,dbadmin,10.0.0.20,sshd_login,success
